Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,PTM_log2FC,Protein_log2FC,Corrected_log2FC,Abs_corrected_log2FC,Pvalue,Correction_class
HSPA8,Acetyl (K),P3C4+Nigericin / P3C4,2,0.646,-0.881,1.527,6.324,0.2922,Robust after correction
HSPA8,Acetyl (K),P3C4 / Unstim,4,-2.771,0.01,-2.781,5.566,0.2927,Protein stable
HSPA8,Myristoyl,LPS+Nigericin / Unstim,2,-0.408,-0.515,0.107,0.212,0.2953,Substantially reduced
IL1B,Phospho (STY),LPS+Nigericin / Unstim,1,1.371,0.665,0.706,0.706,0.3065,Robust after correction
IL1B,Trimethyl (K),P3C4+Nigericin / Unstim,2,2.381,-0.305,2.686,2.699,0.3081,Robust after correction
HSPA8,Oxidation (W),P3C4+Nigericin / Unstim,1,-0.476,-0.871,0.395,0.395,0.3094,Direction reversed
PYCARD,Trimethyl (K),LPS+Nigericin / LPS,1,-0.729,0.197,-0.926,0.926,0.3243,Protein stable
IL1B,Phospho (STY),LPS+Nigericin / LPS,1,-0.961,-0.922,-0.04,0.04,0.3271,Substantially reduced
HSP90AA1,Phospho (STY),P3C4+Nigericin / Unstim,1,-0.613,-0.981,0.368,0.368,0.3348,Direction reversed
PPP2CA,Trimethyl (K),LPS+Nigericin / LPS,1,0.515,-0.328,0.843,0.843,0.3366,Robust after correction
HSP90AA1,Nitrosyl,P3C4 / Unstim,3,-0.445,-0.067,-0.378,0.472,0.3415,Protein stable
HSP90AB1,GlyGly (K),P3C4+Nigericin / Unstim,2,-1.716,-0.98,-0.736,1.998,0.3427,Robust after correction
HSPA8,Myristoyl,P3C4 / Unstim,2,0.094,0.01,0.084,0.084,0.3429,Protein stable
HSPA8,Phospho (STY),LPS+Nigericin / Unstim,4,-0.608,-0.515,-0.093,0.096,0.3434,Substantially reduced
HSP90AA1,Sulfo (STY),LPS / Unstim,3,-1.819,-0.365,-1.454,1.77,0.3438,Direction reversed
HSP90AB1,Trimethyl (K),P3C4+Nigericin / Unstim,2,1.561,-0.98,2.541,2.541,0.3455,Robust after correction
PYCARD,Sulfo (STY),P3C4+Nigericin / Unstim,1,1.467,0.637,0.83,0.83,0.3467,Robust after correction
HSPA8,Phospho (STY),LPS / Unstim,4,-0.687,-0.299,-0.388,0.388,0.3484,Protein stable
HSP90AB1,Nitrosyl,LPS / Unstim,4,2.524,-0.337,2.861,2.877,0.3542,Substantially reduced
GSDMD,Oxidation (W),LPS+Nigericin / LPS,1,-0.666,0.244,-0.91,0.91,0.3639,Protein stable
HSP90AB1,GlyGly (K),P3C4 / Unstim,2,-0.413,-0.059,-0.355,1.878,0.3649,Protein stable
HSP90AA1,Trimethyl (K),LPS+Nigericin / Unstim,1,-0.482,-0.72,0.238,0.238,0.3669,Direction reversed
HSP90AA1,Trimethyl (K),P3C4 / Unstim,1,0.189,-0.067,0.256,0.256,0.3681,Protein stable
HSP90AB1,GlyGly (K),LPS / Unstim,2,-1.194,-0.337,-0.857,1.476,0.3774,Robust after correction
HSPA8,Myristoyl,LPS+Nigericin / LPS,3,-0.225,-0.216,-0.009,0.091,0.3791,Protein stable
HSP90AB1,Crotonyl,LPS / Unstim,3,0.096,-0.337,0.433,0.601,0.3809,Substantially reduced
HSP90AB1,Trimethyl (K),P3C4+Nigericin / P3C4,2,1.314,-0.922,2.236,2.236,0.3839,Robust after correction
HSPA8,Acetyl (K),LPS+Nigericin / Unstim,3,-0.875,-0.515,-0.36,3.329,0.3848,Robust after correction
HSPA8,GlyGly (K),P3C4 / Unstim,2,0.722,0.01,0.712,0.721,0.3875,Protein stable
PYCARD,Phospho (STY),P3C4+Nigericin / P3C4,1,-1.367,0.116,-1.483,1.483,0.3893,Protein stable
PYCARD,Trimethyl (K),P3C4 / Unstim,1,1.221,0.521,0.7,0.7,0.3944,Robust after correction
HSPA8,Trimethyl (K),P3C4 / Unstim,2,0.306,0.01,0.296,0.394,0.3949,Protein stable
HSP90AA1,Hex (K),LPS+Nigericin / Unstim,2,-1.602,-0.72,-0.882,8.203,0.3956,Robust after correction
HSPA8,Crotonyl,P3C4+Nigericin / P3C4,3,-3.803,-0.881,-2.922,2.922,0.4004,Substantially reduced
HSP90AB1,GlyGly (K),LPS+Nigericin / LPS,2,0.435,-0.359,0.794,0.794,0.4039,Robust after correction
PYCARD,Phospho (STY),P3C4 / Unstim,1,1.1,0.521,0.579,0.579,0.4126,Robust after correction
HSPA8,GlyGly (K),LPS+Nigericin / LPS,2,-0.073,-0.216,0.143,0.604,0.4181,Protein stable
HSPA8,Hex (K),P3C4 / Unstim,7,1.2,0.01,1.19,1.4,0.4199,Protein stable
GSDMD,Oxidation (W),P3C4 / Unstim,1,-4.723,0.219,-4.942,4.942,0.4206,Protein stable
IL1B,Acetyl (K),LPS+Nigericin / Unstim,1,-5.942,0.665,-6.607,6.607,0.4206,Robust after correction
HSP90AA1,Hex (K),P3C4+Nigericin / P3C4,2,2.594,-0.914,3.508,3.508,0.4217,Robust after correction
HSPA8,Trimethyl (K),LPS+Nigericin / Unstim,3,-0.558,-0.515,-0.043,0.205,0.4217,Direction reversed
GSDMD,Oxidation (W),P3C4+Nigericin / P3C4,1,4.338,-0.405,4.742,4.742,0.4219,Robust after correction
HSP90AB1,Hex (K),P3C4+Nigericin / P3C4,1,8.472,-0.922,9.394,9.394,0.422,Robust after correction
HSPA8,Crotonyl,P3C4 / Unstim,3,5.771,0.01,5.761,5.761,0.4222,Protein stable
HSP90AB1,Phospho (STY),LPS / Unstim,1,10.709,-0.337,11.046,11.046,0.4226,Robust after correction
HSP90AB1,Hex (K),P3C4 / Unstim,1,-10.001,-0.059,-9.943,9.943,0.4226,Protein stable
HSP90AB1,Hex (K),LPS / Unstim,1,-10.165,-0.337,-9.828,9.828,0.4226,Robust after correction
HSP90AA1,Hex (K),LPS / Unstim,3,-1.355,-0.365,-0.99,5.969,0.4227,Robust after correction
HSP90AB1,Hex (K),LPS+Nigericin / Unstim,1,-9.577,-0.696,-8.881,8.881,0.4227,Robust after correction
HSP90AA1,Hex (K),P3C4 / Unstim,3,-5.629,-0.067,-5.562,5.596,0.4228,Protein stable
HSP90AA1,Hex (K),P3C4+Nigericin / Unstim,2,-5.841,-0.981,-4.86,4.86,0.4228,Robust after correction
HSPA8,Hex (K),P3C4+Nigericin / P3C4,7,-0.632,-0.881,0.249,1.889,0.4231,Robust after correction
HSPA8,HexNAc (ST),P3C4+Nigericin / P3C4,4,-1.811,-0.881,-0.93,1.058,0.4231,Robust after correction
HSP90AB1,Nitrosyl,P3C4 / Unstim,4,3.14,-0.059,3.199,3.199,0.4237,Protein stable
HSP90AB1,Myristoyl,P3C4+Nigericin / P3C4,1,6.122,-0.922,7.044,7.044,0.4239,Robust after correction
HSP90AB1,HexNAc (ST),LPS+Nigericin / Unstim,1,0.415,-0.696,1.111,1.111,0.4244,Robust after correction
HSPA8,Acetyl (K),LPS+Nigericin / LPS,2,-2.166,-0.216,-1.95,3.416,0.4245,Protein stable
HSP90AB1,Myristoyl,P3C4+Nigericin / Unstim,1,5.818,-0.98,6.799,6.799,0.4252,Robust after correction
IL1B,Myristoyl,LPS+Nigericin / Unstim,1,0.893,0.665,0.228,0.228,0.4385,Substantially reduced
HSPA8,Trimethyl (K),P3C4+Nigericin / Unstim,3,-0.454,-0.871,0.417,0.417,0.4386,Direction reversed
HSP90AA1,Sulfo (STY),LPS+Nigericin / Unstim,2,-0.713,-0.72,0.007,0.402,0.4448,Substantially reduced
HSPA8,Phospho (STY),P3C4+Nigericin / Unstim,4,0.439,-0.871,1.31,1.31,0.4471,Robust after correction
HSP90AB1,HexNAc (ST),P3C4 / Unstim,1,-0.543,-0.059,-0.485,0.485,0.4521,Protein stable
GSDMD,Nitrosyl,P3C4+Nigericin / Unstim,2,-0.13,-0.186,0.056,0.359,0.4582,Protein stable
HSPA8,GlyGly (K),P3C4+Nigericin / P3C4,2,-0.711,-0.881,0.169,0.29,0.4608,Substantially reduced
HSPA8,Acetyl (K),LPS / Unstim,3,0.368,-0.299,0.667,0.901,0.4609,Protein stable
HSPA8,Crotonyl,LPS / Unstim,3,0.07,-0.299,0.368,0.381,0.4664,Protein stable
