"Genes","PTM.ModificationTitle","Comparison (group1/group2)","N_sites","Mean_corr","Mean_abs_corr","N_robust_sites","Min_p"
"PYCARD","Trimethyl (K)","LPS+Nigericin / Unstim",1,0.320440066233436,0.320440066233436,0,0.467437897200823
"HSP90AA1","Sulfo (STY)","LPS+Nigericin / LPS",2,-0.22915668445376,0.313018275595045,0,0.54472848370159
"CASP1","Nitrosyl","P3C4 / Unstim",1,0.309926337365105,0.309926337365105,0,0.639755215483209
"HSP90AB1","Oxidation (W)","P3C4+Nigericin / P3C4",2,-0.307666994365105,0.307666994365105,0,0.0108206126529896
"HSP90AB1","Trimethyl (K)","P3C4 / Unstim",2,0.305546791060344,0.305546791060344,0,0.625940522045684
"HSP90AA1","Oxidation (W)","P3C4+Nigericin / P3C4",1,-0.302580021390979,0.302580021390979,0,0.00514448438132919
"HSP90AA1","Oxidation (W)","LPS+Nigericin / LPS",1,0.2992310055823,0.2992310055823,0,0.909772568553413
"HSP90AB1","Oxidation (W)","LPS+Nigericin / LPS",2,-0.265519315706278,0.29854514737979,0,0.290668775878818
"HSP90AB1","Phospho (STY)","P3C4 / Unstim",1,-0.291280571381758,0.291280571381758,0,0.57678831291489
"HSPA8","GlyGly (K)","P3C4+Nigericin / P3C4",2,0.169363128461531,0.289705492643749,0,0.460830307745327
"IL1B","Nitrosyl","P3C4 / Unstim",1,0.28861244256507,0.28861244256507,0,0.0303296544986136
"HSP90AA1","Acetyl (K)","LPS+Nigericin / LPS",1,-0.283730188717072,0.283730188717072,0,0.780365481626883
"HSP90AB1","Oxidation (W)","P3C4+Nigericin / Unstim",2,-0.272724799880484,0.272724799880484,0,0.0162844595867026
"HSP90AB1","Acetyl (K)","P3C4+Nigericin / Unstim",2,0.0346558989164505,0.271115175533589,0,0.124343377108823
"PPP2CA","Trimethyl (K)","P3C4 / Unstim",1,-0.270077267678951,0.270077267678951,0,0.552693137221982
"IL1B","Sulfo (STY)","LPS+Nigericin / Unstim",5,-0.0500944691544354,0.269480154875067,0,0.467738017736267
"HSP90AB1","HexNAc (ST)","P3C4+Nigericin / P3C4",1,-0.26171625154301,0.26171625154301,0,0.00394949737288147
"HSP90AA1","Trimethyl (K)","P3C4 / Unstim",1,0.256114730358549,0.256114730358549,0,0.368086008809436
"HSP90AB1","Acetyl (K)","LPS / Unstim",2,-0.05291444980019,0.254974657364967,0,0.241898374998335
"HSP90AB1","Sulfo (STY)","P3C4+Nigericin / P3C4",2,-0.157087610579959,0.248984294350441,0,0.099513237107977
"CASP1","Nitrosyl","LPS+Nigericin / LPS",1,-0.248897751826889,0.248897751826889,0,0.678062355834004
"HSP90AB1","Sulfo (STY)","P3C4 / Unstim",1,0.248056724740996,0.248056724740996,0,0.526050593894898
"IL1B","Sulfo (STY)","LPS / Unstim",5,-0.0564223045182873,0.247557293069927,0,0.0435621867707714
"HSP90AB1","Myristoyl","P3C4 / Unstim",1,-0.245363904049899,0.245363904049899,0,0.291513275428422
"HSP90AA1","Phospho (STY)","P3C4+Nigericin / P3C4",1,-0.242097258605009,0.242097258605009,0,0.0803706247964859
"HSP90AA1","Trimethyl (K)","LPS+Nigericin / Unstim",1,0.23784520228182,0.23784520228182,0,0.366860360009344
"HSPA8","Myristoyl","LPS / Unstim",2,0.181436635640959,0.236320719850233,0,0.128884818538799
"IL1B","Myristoyl","LPS+Nigericin / Unstim",1,0.227886592938401,0.227886592938401,0,0.438496051369242
"IL1B","Phospho (STY)","P3C4+Nigericin / Unstim",1,0.22571702910661,0.22571702910661,0,0.920769230046952
"HSP90AB1","Acetyl (K)","LPS+Nigericin / Unstim",2,-0.208622329984361,0.223411041909834,0,0.283569535765522
"HSP90AB1","Crotonyl","LPS+Nigericin / LPS",3,-0.221039101969063,0.221039101969063,0,0.272246630672561
"HSP90AA1","Oxidation (W)","P3C4+Nigericin / Unstim",1,-0.215724094930135,0.215724094930135,0,0.00669902568479588
"IL1B","Sulfo (STY)","LPS+Nigericin / LPS",5,0.00632783536384882,0.21391608830361,0,0.153244195337426
"HSPA8","Myristoyl","LPS+Nigericin / Unstim",2,0.106646245958638,0.211854380747944,0,0.295340279908559
"IL1B","Trimethyl (K)","LPS / Unstim",2,-0.2109180578824,0.2109180578824,0,0.526189036290752
"HSPA8","Trimethyl (K)","LPS+Nigericin / Unstim",3,-0.0431307941207533,0.204878197916677,0,0.421715659383658
"IL1B","Myristoyl","LPS / Unstim",1,0.20453348394963,0.20453348394963,0,0.0138155208886566
"IL1B","Phospho (STY)","P3C4+Nigericin / P3C4",1,-0.20269772964285,0.20269772964285,0,0.0442936783338056
"GSDMD","Oxidation (W)","P3C4+Nigericin / Unstim",1,-0.199308396855897,0.199308396855897,0,0.855466872830313
"HSPA8","Nitrosyl","LPS+Nigericin / Unstim",1,-0.196144276723293,0.196144276723293,0,0.689359174893394
"HSPA8","Oxidation (W)","LPS+Nigericin / Unstim",1,0.185441320609558,0.185441320609558,0,0.473073062622513
"CASP1","Nitrosyl","P3C4+Nigericin / P3C4",1,0.182937442670419,0.182937442670419,0,0.589514235546087
"IL1B","GlyGly (K)","P3C4+Nigericin / P3C4",1,-0.18186532326803,0.18186532326803,0,0.0120003765007792
"HSP90AB1","Oxidation (W)","LPS+Nigericin / Unstim",2,-0.165180567454228,0.165180567454228,0,0.157932038882782
