Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,Mean_log2FC,Mean_abs_log2FC,Min_Pvalue
IL1B,Hex (K),LPS+Nigericin / Unstim,1,0.307,0.307,0.8191
GSDMD,Nitrosyl,P3C4+Nigericin / P3C4,2,0.085,0.085,0.8193
IL1B,Hex (K),P3C4+Nigericin / Unstim,1,0.213,0.213,0.8201
CASP1,Nitrosyl,LPS / Unstim,1,-0.391,0.391,0.8271
HSP90AA1,HexNAc (ST),LPS / Unstim,1,0.341,0.341,0.8345
HSP90AA1,HexNAc (ST),P3C4+Nigericin / P3C4,1,-0.089,0.089,0.8357
PYCARD,Phospho (STY),LPS / Unstim,1,-0.337,0.337,0.8367
GSDMD,Oxidation (W),P3C4+Nigericin / Unstim,1,-0.385,0.385,0.8555
HSPA8,Nitrosyl,P3C4+Nigericin / P3C4,1,-0.369,0.369,0.8624
HSP90AB1,Myristoyl,LPS / Unstim,1,0.039,0.039,0.8644
PYCARD,Phospho (STY),P3C4+Nigericin / Unstim,1,-0.267,0.267,0.8704
HSP90AB1,Phospho (STY),LPS+Nigericin / LPS,1,0.236,0.236,0.8878
HSPA8,Nitrosyl,P3C4+Nigericin / Unstim,1,-0.269,0.269,0.889
HSP90AA1,Oxidation (W),P3C4 / Unstim,1,0.02,0.02,0.8909
IL1B,Acetyl (K),P3C4+Nigericin / Unstim,1,-0.276,0.276,0.8978
CASP1,Nitrosyl,P3C4+Nigericin / Unstim,1,-0.227,0.227,0.9003
HSP90AA1,Oxidation (W),LPS+Nigericin / LPS,1,-0.056,0.056,0.9098
HSP90AA1,HexNAc (ST),P3C4+Nigericin / Unstim,1,-0.21,0.21,0.9142
HSP90AA1,Acetyl (K),LPS / Unstim,1,-0.227,0.227,0.917
IL1B,Phospho (STY),P3C4+Nigericin / Unstim,1,-0.079,0.079,0.9208
HSP90AA1,HexNAc (ST),P3C4 / Unstim,1,-0.121,0.121,0.9491
HSPA8,Nitrosyl,P3C4 / Unstim,1,0.1,0.1,0.9591
HSP90AA1,Nitrosyl,LPS+Nigericin / Unstim,4,-2.608,2.608,9e-04
