Comparison (group1/group2),PTM.ModificationTitle,rows_total,rows_candidate,candidate_frac,median_abs_log2,median_p,median_ratios
P3C4 / LPS+Nigericin,Dimethyl (KR),1078,55,0.05102040816326531,0.9382917262413877,0.3344966033121885,6.0
Unstim / P3C4,Cation:Na (DE),1272,55,0.04323899371069182,0.7974348032605418,0.39950836295836456,6.0
Unstim / LPS+Nigericin,Dimethyl (KR),1099,54,0.04913557779799818,0.9085450621448112,0.3710163636446075,6.0
Unstim / P3C4,Formyl,754,53,0.07029177718832891,0.7687513292609335,0.39847079879757963,6.0
LPS / LPS+Nigericin,Cation:Na (DE),1358,53,0.0390279823269514,0.7619686341466044,0.3807005434264814,6.0
P3C4 / Nigericin,Acetyl (K),351,51,0.1452991452991453,1.1022501262462454,0.2847122275034133,6.0
P3C4 / P3C4+Nigericin,Myristoyl,415,50,0.12048192771084337,1.1992475079214304,0.3278685905176634,6.0
Unstim / P3C4,Nitrosyl,615,50,0.08130081300813008,0.7419225640082608,0.3757687241387591,6.0
P3C4+Nigericin / Nigericin,Cation:Mg[II],1102,50,0.045372050816696916,0.7566712231808153,0.37872603233089375,6.0
Unstim / LPS,Cation:Na (DE),1187,50,0.04212299915754002,0.7929988469890257,0.3897932601254356,6.0
LPS / Nigericin,Acetyl (K),361,49,0.13573407202216067,1.0023232077206732,0.3063509836713819,6.0
Unstim / LPS+Nigericin,Formyl,869,49,0.05638665132336018,0.8529531949812288,0.3603502424831302,6.0
P3C4+Nigericin / Nigericin,Cation:Na (DE),1270,49,0.03858267716535433,0.7720070867283036,0.3845419938754307,6.0
Unstim / P3C4+Nigericin,Myristoyl,446,48,0.10762331838565023,1.1622645804263039,0.30857349622489805,6.0
Unstim / P3C4+Nigericin,Carboxy,626,47,0.07507987220447285,0.9600686479226714,0.31256654021470465,6.0
LPS / LPS+Nigericin,Carbamylation (KR),1056,47,0.04450757575757576,0.8383167410195154,0.376931373966851,6.0
P3C4 / LPS+Nigericin,Dioxidation (MW),832,46,0.055288461538461536,0.8290304136838578,0.2868373804597571,6.0
Unstim / P3C4,Sulfo (STY),910,46,0.05054945054945055,0.7378533447816888,0.4082903549408218,6.0
LPS / LPS+Nigericin,Cation:Mg[II],1173,46,0.0392156862745098,0.7794834534641396,0.3658317840460017,6.0
Unstim / Nigericin,Biotin,332,45,0.1355421686746988,1.0848216588295088,0.3538707453494193,6.0
LPS / Nigericin,Myristoyl,426,45,0.1056338028169014,1.0656071298501382,0.31729409190899643,6.0
Unstim / P3C4,Carbamylation (KR),923,45,0.04875406283856988,0.7969401311555123,0.4049332704632217,6.0
LPS / LPS+Nigericin,Sulfo (STY),1025,45,0.04390243902439024,0.7484632399766236,0.3888415531753061,6.0
P3C4+Nigericin / LPS,Myristoyl,444,44,0.0990990990990991,0.9130651980390156,0.31791929516875217,6.0
Unstim / P3C4+Nigericin,Crotonyl,499,44,0.08817635270541083,1.223465863000713,0.3340330735629333,6.0
Unstim / LPS+Nigericin,Hydroxymethyl,745,44,0.05906040268456376,0.8851588370467675,0.3539952684269164,6.0
P3C4 / LPS+Nigericin,Hydroxymethyl,759,44,0.057971014492753624,0.8870153978616324,0.3197599497855996,6.0
P3C4 / LPS+Nigericin,Methyl (KR),768,44,0.057291666666666664,0.8394087802386707,0.29470323501510115,6.0
LPS / LPS+Nigericin,Dimethyl (KR),1078,44,0.04081632653061224,0.8174417793617423,0.3864062804290071,6.0
P3C4+Nigericin / LPS+Nigericin,Oxidation (M),2737,44,0.01607599561563756,0.529804195392855,0.4566155253443303,6.0
Unstim / P3C4+Nigericin,Biotin,330,43,0.1303030303030303,1.210161909098546,0.28721542094832525,6.0
P3C4 / P3C4+Nigericin,Acetyl (K),356,43,0.12078651685393259,1.1809286535889552,0.342103118755955,6.0
Unstim / P3C4+Nigericin,HexNAc (ST),453,43,0.09492273730684327,1.0925825477034534,0.3271092110680487,6.0
Unstim / LPS+Nigericin,Nitrosyl,724,43,0.05939226519337017,0.7841629118168489,0.3456000087691564,6.0
Unstim / Nigericin,Acetyl (K),370,42,0.11351351351351352,1.0918769050787287,0.3339933476627202,6.0
Unstim / LPS+Nigericin,Trimethyl (K),701,42,0.05991440798858773,1.0549902929077888,0.4112315588555365,6.0
LPS / LPS+Nigericin,Formyl,878,42,0.04783599088838269,0.7819026852051613,0.36764046612977935,6.0
Unstim / LPS,Cation:Mg[II],1059,42,0.039660056657223795,0.8028975164925328,0.360866604570051,6.0
P3C4+Nigericin / LPS+Nigericin,Methyl (E),1766,42,0.02378255945639864,0.6622401109721592,0.4140666631387743,6.0
P3C4 / LPS+Nigericin,Nitrosyl,681,41,0.06020558002936858,0.8631317625943944,0.2822257456859721,6.0
P3C4+Nigericin / Nigericin,Carbamylation (KR),1025,41,0.04,0.7536034366969909,0.3968450170767752,6.0
Unstim / P3C4,Cation:Mg[II],1026,41,0.03996101364522417,0.7157504361149436,0.3944314426098313,6.0
P3C4 / Nigericin,Biotin,316,40,0.12658227848101267,0.9846152024959329,0.3196896149624846,6.0
P3C4 / LPS,Dimethyl (KR),920,40,0.043478260869565216,0.7684934710339344,0.37620856999908303,6.0
LPS / LPS+Nigericin,Methyl (KR),775,39,0.05032258064516129,0.7233676510429466,0.3611382402832747,6.0
Unstim / LPS,Sulfo (STY),900,39,0.043333333333333335,0.7912105391704269,0.38311574093104606,6.0
P3C4 / LPS+Nigericin,Carbamylation (KR),1052,38,0.03612167300380228,0.9120574557601322,0.34393400585896106,6.0
P3C4 / P3C4+Nigericin,Biotin,307,37,0.12052117263843648,1.0570047122705557,0.3017259142997492,6.0
LPS / Nigericin,Hex (K),354,37,0.10451977401129943,0.9692665682979809,0.4034416938978704,6.0
Unstim / Nigericin,HexNAc (ST),417,37,0.08872901678657075,1.0663827773373051,0.3305125743236839,6.0
Unstim / LPS+Nigericin,Carboxymethyl,503,37,0.073558648111332,0.8445960742787386,0.3474845638776905,6.0
Unstim / P3C4,Dioxidation (MW),685,37,0.05401459854014599,0.6582830029629181,0.3598113544906952,6.0
P3C4 / LPS,Formyl,742,37,0.04986522911051213,0.7257095206681442,0.41696526067565715,6.0
P3C4 / LPS,Carbamylation (KR),934,37,0.03961456102783726,0.7172104821202301,0.4093230674012964,6.0
P3C4 / LPS,Cation:Mg[II],953,37,0.03882476390346275,0.6926762471194018,0.3626787005648048,6.0
P3C4+Nigericin / Nigericin,Dimethyl (KR),988,37,0.03744939271255061,0.7814934157793496,0.37450785097909,6.0
P3C4+Nigericin / Nigericin,Dioxidation (MW),734,36,0.04904632152588556,0.6565271131487234,0.34248095279123913,6.0
Unstim / LPS+Nigericin,Carbamylation (KR),1037,36,0.03471552555448409,0.8826650831963108,0.3681036837069639,6.0
P3C4 / Nigericin,Hex (K),335,35,0.1044776119402985,1.1759799443114796,0.3552488568885277,6.0
P3C4 / P3C4+Nigericin,Hex (K),350,35,0.1,1.3223220421988977,0.31132658222673826,6.0
P3C4+Nigericin / LPS,GlyGly (K),480,35,0.07291666666666667,1.0235419363839329,0.37622538558947616,6.0
P3C4 / LPS,Nitrosyl,611,35,0.057283142389525366,0.6963285963544267,0.3595678804742497,6.0
P3C4+Nigericin / Nigericin,Sulfo (STY),952,35,0.03676470588235294,0.7240575319741729,0.3911929042934844,6.0
P3C4+Nigericin / LPS+Nigericin,Oxidation (P),1923,35,0.018200728029121163,0.6253353182760698,0.4225689032847055,6.0
P3C4+Nigericin / LPS,Biotin,322,34,0.10559006211180125,1.123275858945309,0.3054229662866784,6.0
Unstim / Nigericin,Hex (K),351,34,0.09686609686609686,1.0877068060672286,0.4133974179865354,6.0
